"x","y","n","distinct sides","Elapsed Time (ms)"
8192,1024,21,42,2483
8192,2048,21,42,8518
8192,4096,21,42,17747
8192,8192,21,42,8614
128,128,1024,128,0
128,256,1024,253,0
128,512,1024,459,0
128,1024,1024,702,187
128,2048,1024,883,491
128,4096,1024,1014,1178
128,8192,1024,1080,3004
256,128,1024,249,18
256,256,1024,256,28
256,512,1024,474,137
256,1024,1024,720,438
256,2048,1024,974,1145
256,4096,1024,1079,2805
256,8192,1024,1182,7256
512,128,1024,450,57
512,256,1024,469,125
512,512,1024,501,216
512,1024,1024,804,975
512,2048,1024,1066,2755
512,4096,1024,1239,7460
512,8192,1024,1344,19002
1024,128,1024,681,188
1024,256,1024,732,432
1024,512,1024,798,1006
1024,1024,1024,896,1564
1024,2048,1024,1195,6498
1024,4096,1024,1403,18011
128,128,100,103,2
128,256,100,130,11
128,384,100,142,20
128,512,100,148,28
128,640,100,153,38
128,768,100,155,45
128,896,100,163,55
128,1024,100,158,65
128,1152,100,161,76
128,1280,100,162,86
128,1408,100,163,93
128,1536,100,158,96
128,1664,100,158,104
128,1792,100,162,114
128,1920,100,159,125
128,2048,100,161,131
128,2176,100,160,147
128,2304,100,168,155
128,2432,100,167,156
128,2560,100,168,185
128,2688,100,169,181
128,2816,100,170,200
128,2944,100,163,198
128,3072,100,162,206
128,3200,100,166,213
128,3328,100,164,219
128,3456,100,168,253
128,3584,100,167,251
128,3712,100,164,279
128,3840,100,169,329
128,3968,100,168,338
128,4096,100,173,327
128,4224,100,173,320
128,4352,100,174,339
128,4480,100,170,367
128,4608,100,168,324
128,4736,100,159,305
128,4864,100,161,318
128,4992,100,168,364
128,5120,100,166,367
128,5248,100,164,391
128,5376,100,162,378
128,5504,100,165,409
128,5632,100,165,472
128,5760,100,170,464
128,5888,100,170,461
128,6016,100,167,506
128,6144,100,167,476
128,6272,100,167,493
128,6400,100,165,505
128,6528,100,165,498
128,6656,100,165,506
128,6784,100,166,535
128,6912,100,165,561
128,7040,100,169,560
128,7168,100,166,567
128,7296,100,165,575
128,7424,100,169,602
128,7552,100,170,619
128,7680,100,169,643
128,7808,100,170,706
128,7936,100,164,742
128,8064,100,162,728
128,8192,100,169,702
256,128,100,135,11
256,256,100,145,17
256,384,100,157,37
256,512,100,160,58
256,640,100,169,78
256,768,100,167,103
256,896,100,178,124
256,1024,100,174,146
256,1152,100,175,157
256,1280,100,178,187
256,1408,100,168,186
256,1536,100,174,219
256,1664,100,170,232
256,1792,100,173,254
256,1920,100,176,275
256,2048,100,179,314
256,2176,100,177,336
256,2304,100,182,426
256,2432,100,178,406
256,2560,100,173,413
256,2688,100,175,432
256,2816,100,185,519
256,2944,100,182,486
256,3072,100,176,504
256,3200,100,171,496
256,3328,100,178,545
256,3456,100,178,565
256,3584,100,178,728
